date,US10Y,WTI,Gold,HY_OAS,IG_OAS,CPI,BE10Y,USD_TW,INDPRO,USREC,SPX,VIX
2019-01-31,2.70,0.0,0.0,400,120,0.0,1.80,0.0,0.0,0,0.0,0.0
2019-02-28,2.65,5.6,0.4,395,118,0.2,1.85,-0.4,0.3,0,3.0,-5.9
2019-03-31,2.42,5.3,-2.3,410,122,0.3,1.84,-0.4,0.2,0,1.8,-12.5
2019-04-30,2.53,5.0,-0.8,405,121,0.4,1.96,-0.2,0.3,0,3.5,-7.1
2019-05-31,2.14,-14.3,-0.8,430,130,0.2,1.64,0.8,-0.2,0,-6.1,15.4
2019-06-30,2.00,5.6,9.0,420,125,0.2,1.68,0.1,0.5,0,6.9,-6.7
2019-07-31,2.02,1.8,1.4,415,124,0.2,1.70,0.3,0.2,0,1.4,-7.1
2019-08-31,1.50,-6.9,7.8,470,140,0.4,1.50,0.7,-0.5,0,-2.7,38.5
2019-09-30,1.68,3.7,-1.3,450,135,0.1,1.55,-0.4,0.5,0,2.4,-11.1
2019-10-31,1.69,-1.8,0.3,440,130,0.2,1.60,-0.4,0.2,0,2.4,-18.8
2019-11-30,1.78,5.5,-3.0,430,125,-0.0,1.70,-0.2,0.2,0,3.3,-7.7
2019-12-31,1.92,5.2,4.1,420,120,0.1,1.80,-0.3,0.3,0,2.9,0.0
2020-01-31,1.52,-6.6,3.9,410,118,0.2,1.70,0.4,0.1,0,-0.2,16.7
2020-02-29,1.13,-12.3,0.3,450,130,0.3,1.55,0.8,-0.4,0,-8.4,42.9
2020-03-31,0.70,-40.0,0.3,900,300,-0.2,0.60,2.5,-6.5,1,-12.5,225.0
2020-04-30,0.64,-40.0,6.3,800,250,-0.7,0.80,1.2,-10.6,1,9.5,-36.9
2020-05-31,0.65,77.8,1.8,700,200,0.2,1.00,-0.4,2.2,1,7.6,-31.7
2020-06-30,0.66,18.8,2.9,650,180,0.1,1.20,-0.8,2.1,1,1.8,7.1
2020-07-31,0.55,7.9,11.3,600,160,0.7,1.45,-0.8,2.1,1,5.5,-20.0
2020-08-31,0.72,2.4,-1.0,550,150,0.3,1.75,-0.4,2.0,1,7.0,-8.3
2020-09-30,0.68,-4.8,-3.1,520,140,0.2,1.60,-0.4,1.0,1,-4.0,18.2
2020-10-31,0.88,-2.5,0.3,500,135,0.0,1.65,-0.2,1.0,1,-2.7,11.5
2020-11-30,0.84,5.1,-6.1,480,130,-0.1,1.80,-1.5,1.0,0,10.8,-20.7
2020-12-31,0.93,14.6,6.2,450,125,0.1,1.95,-6.7,1.0,0,3.7,-4.5
